,Generation,label
10,"""Putin and Xi are using the coronavirus crisis to extend their control. Across the world, Trump is struggling to keep up""""."" """" """" ""Putin and Xi are using the coronavirus crisis to extend their control. Across the world, Trump is struggling to keep up.""",gpt3
11,"""How this South Korean company created coronavirus test kits in three weeks"""""" """" ""The South Korean tech company, Shin-Etsu Chemical Co., Ltd., created coronavirus test kits in three weeks. The company is a leading manufacturer of chemical and biotech products. The coronavirus test kits are used to diagnose and detect the presence of the coronavirus. The kits are also used to monitor the progression of the virus.""",gpt3
12,"""The 30 most troubling lines from Donald Trump's latest news conference on coronavirus"""""" """" ""1. ""Our country is doing very well with the exception of certain areas that we are working on - we're working very hard on the coronavirus."""" """" ""2. ""We have been hit very hard by the worst coronavirus in history. It's a catastrophe. It's a global catastrophe."""" """" ""3. ""It's a very nasty virus, it's a very deadly virus, and we are dealing with it as best we can."""" """" ""4. ""There are many people that are affected by the coronavirus, many people that have died as a result of this virus."""" """" ""5. ""This is a very, very serious situation. We're doing very well with the cure, but we have a lot of people that are very badly ill."""" """" ""6. ""This is a very difficult situation, because we have a lot of people that are very ill, and we're working very hard to try to get them the best treatment that we can."""" """" ""7. ""We're fighting for the lives of a lot of people. This is a very serious, very terrible problem."""" """" ""8. ""We are not just fighting this virus, we're also fighting for the lives of many people who are very ill with this virus."""" """" ""9. ""This virus is a very, very serious global problem, and we are doing everything that we can to solve it."""" """" ""10. ""We have to get the world's attention on this. This is a very, very serious global problem."""" """" ""11. ""This is a very, very, very serious, global problem. And we're doing our very best to solve it."""" """" ""12. ""We're doing everything that we can to help the world solve this problem."""" """" ""13. ""We're fighting for the lives of many people with this virus."""" """" ""14. ""This is a very, very serious global problem."""" """" ""15. ""We have to solve this problem, this is a very serious, global problem."""" """" ""16. ""We have to get the word out there that this is a very serious problem."""" """" ""17. ""This is a very, very serious global problem, and we're doing everything that we can to solve it."""" """" ""18. ""This is a very serious problem, and we're doing everything that we can to solve it."""" """" ""19. ""We're fighting for the""",gpt3
13,"""Coronavirus could hurt Boeing more than the 737 Max crisis"""", analysts say"" """" ""While the 737 Max crisis has hurt Boeing, there is another potential problem with the company’s planes, analysts say."" """" ""A coronavirus could cripple the airlines’ fleets of 737 Max planes, costing Boeing a significant amount of money."" """" ""“If there is a pandemic, it could be fatal for a 737 Max and there would be a lot of them in the fleet,” said Robert Mann, an aviation industry analyst with R.W. Mann & Company."" """" ""The 737 Max is Boeing’s most popular plane and is used by both small and large airlines."" """" ""Boeing is the world’s largest manufacturer of passenger planes and the MAX family of planes is central to its business."" """" ""Shares of Boeing were down 0.95% in premarket trading on Monday.""",gpt3
14,"""Hong Kong protests: How unrest criminalized a generation"""""" """" ""The police use tear gas and rubber bullets to disperse the crowd after clashing with protesters on December 12 in Hong Kong.""",gpt3
15,"""Christmas in Hong Kong marked by demonstrations and tear gas"""""" """" ""Hong Kong people held large Christmas gatherings despite heavy police presence amid ongoing demonstrations over universal suffrage.""",gpt3
16,"""New arts district aims to brighten Chennai community's dark reputation"""""" """" """"It's about creating an environment where creativity flourishes, diversity is celebrated and artists can find an enthusiastic audience for their work,"" says Ashish Srivastava, the founder of the arts district."" """" ""Ashish Srivastava, the founder of the arts district""",gpt3
17,"""From east Paris to world fame -- how imagination and travel fueled Christian Louboutin's success""""story"" """" ""Christian Louboutin was born in east Paris in 1957 to a family of seamstresses. As a young girl, she loved to create costumes and accessories for her dolls, and dreamed of one day becoming a fashion designer."" """" ""In 1978, at the age of 23, Louboutin arrived in Paris and began her professional career as a shoe designer. She quickly gained a reputation for her creative and daring designs, which set her apart from other fashion designers of the time."" """" ""Louboutin's success in the fashion industry was partially due to her innovative use of fashion trends, as well as her ability to fuse traditional French fashion with a more contemporary aesthetic. Her shoes became known for their dramatically high heels, which made her designs both sexy and stylish."" """" ""In 1992, Louboutin made her first foray into the luxury fashion world by launching her own line of clothing and accessories. Today, her collections are worn by celebrities all over the world, and her shoes are considered some of the most recognizable and coveted pieces in fashion."" """" ""Christian Louboutin's success story is a testament to the power of imagination and travel to fuel innovation and creativity. Her unique designs and sense of fashion have made her one of the most iconic fashion designers of all time, and her shoes continue to be popular favorites among women worldwide.""",gpt3
18,"""12 famous buildings in India: From ancient wonders to modern marvels"""""" """" ""1. Taj Mahal - A mausoleum in Agra, Uttar Pradesh, India, built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal. It is considered one of the Wonders of the World."" """" ""2. Qutb Minar - A tower in Delhi, India, built by Qutb-ud-Din Aybak in the 14th century. It is the world's tallest brick minaret."" """" ""3. Red Fort - An artillery fort and palace in Delhi, India, built by the Mughal Emperor Shah Jahan in the 16th century. It is one of the Seven Wonders of the World."" """" ""4. Gateway of India - A monumental arch in Mumbai, Maharashtra, India, built by the British in the early 20th century. It is the main entrance to the city and one of the most popular tourist attractions in India."" """" ""5. Amar Mahal - A palace in Jaipur, Rajasthan, India, built by Maharaja Amar Singh in the 18th century. It is one of the most popular tourist destinations in India."" """" ""6. Sadar Bazaar - An old bazaar in Dhaka, Bangladesh, built in the 16th century. It is the largest covered market in the world."" """" ""7. Tiger Island - A man-made island in the Bhagirathi River in the city of Kolkata, West Bengal, India, used as a tiger reserve since the 1970s."" """" ""8. Birla Mandir - A temple in Mumbai, Maharashtra, India, built by the Birlas in the 1920s. It is one of the most popular religious tourist destinations in India."" """" ""9. Taj Mahal - A mausoleum in Agra, Uttar Pradesh, India, built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal. It is considered one of the Wonders of the World."" """" ""10. Mahalaxmi Temple - A Hindu temple in Mumbai, Maharashtra, India, built by the Mahalaxmi trust in the 1920s. It is one of the most popular tourist destinations in India.""",gpt3
19,"""Coronavirus: Which countries have travel bans?"""""" """" ""Countries that have issued travel bans for coronavirus are Saudi Arabia, Iran, and Qatar.""",gpt3
20,"""Mount Everest closed over coronavirus fears"""""" """" ""Mount Everest is closed to climbers due to concerns over the coronavirus.""",gpt3
21,"""With society shutting down will Tokyo 2020 go ahead?"""""" """" ""There is no way to know for certain whether society will ""shut down"" in the sense that many services will be closed, businesses will be closed, etc. However, if this were to happen, it is likely that Tokyo 2020 would not go ahead.""",gpt3
22,"""Despite coronavirus concerns, Inter Milan president Steven Zhang confident Serie A season will be completed"""""" """" ""Inter Milan president Steven Zhang reassured supporters last night that the Serie A season will be completed, despite coronavirus concerns."" """" """"There are new concerns, but I'm confident the season will be completed,"" said Zhang. ""We'll do everything to avoid any problems."""" """" ""Zhang earlier this week met with representatives from the Italian Football Federation (FIGC), who briefed him on the coronavirus situation."" """" ""Coronavirus has so far killed 25 people in Europe, with Germany and Spain being the most impacted countries."" """" ""Despite the concerns, Inter Milan will travel to Italy's Serie A rivals Lazio this weekend.""",gpt3
23,"""Coronavirus threat to Tokyo 2020 is 'heartbreaking,' says surfer Kanoa Igarashi"""""" """" ""Kanoa Igarashi, a surfer from Hawaii, is one of the athletes who could be affected by the coronavirus if it spreads to her country."" """" """"The coronavirus threat to Tokyo 2020 is absolutely heartbreaking,"" Igarashi said. ""Both as an athlete and as a person, I want to compete in the world's biggest and most important sporting event, but I don't want to risk my health or that of others."""" """" ""Igarashi is one of the stars of the surfing world and has won many major titles. She is also a spokesperson for the Surfing World Tour and was recently named the Athlete of the Year by the Surfingindustry.com website."" """" """"The coronavirus is a scary virus and I want to do everything I can to help stop it from spreading,"" Igarashi said. ""I know that the world's surfers are united, and we will do everything we can to support each other and protect our sport.""""",gpt3
24,"""A state-by-state breakdown of US coronavirus cases"""""" """" ""As of Nov. 15, there have been a total of 36 confirmed coronavirus cases in the US, according to the Centers for Disease Control and Prevention. Here is a state-by-state breakdown of the cases:"" """" ""Alabama: 5"" """" ""Alaska: 1"" """" ""Arizona: 10"" """" ""Arkansas: 5"" """" ""California: 20"" """" ""Colorado: 5"" """" ""Connecticut: 1"" """" ""Delaware: 1"" """" ""Florida: 10"" """" ""Georgia: 10"" """" ""Hawaii: 1"" """" ""Idaho: 2"" """" ""Illinois: 9"" """" ""Indiana: 5"" """" ""Iowa: 2"" """" ""Kansas: 3"" """" ""Kentucky: 4"" """" ""Louisiana: 4"" """" ""Maine: 1"" """" ""Maryland: 6"" """" ""Massachusetts: 6"" """" ""Michigan: 10"" """" ""Minnesota: 4"" """" ""Mississippi: 2"" """" ""Missouri: 8"" """" ""Montana: 2"" """" ""Nebraska: 3"" """" ""Nevada: 4"" """" ""New Hampshire: 1"" """" ""New Jersey: 5"" """" ""New Mexico: 4"" """" ""New York: 20"" """" ""North Carolina: 10"" """" ""North Dakota: 1"" """" ""Ohio: 11"" """" ""Oklahoma: 6"" """" ""Oregon: 5"" """" ""Pennsylvania: 13"" """" ""Rhode Island: 1"" """" ""South Carolina: 5"" """" ""South Dakota: 1"" """" ""Tennessee: 8"" """" ""Texas: 19"" """" ""Utah: 4"" """" ""Vermont: 1"" """" ""Virginia: 7"" """" ""Washington: 10"" """" ""West Virginia: 2"" """" ""Wisconsin: 4""",gpt3
25,"""Why the impact of coronavirus could be particularly bad on college campuses"""""" """" ""The impact of coronavirus could be particularly bad on college campuses because college campuses are often populated by young people who are not well-equipped to deal with the health complications that can result from the virus. College campuses typically have limited access to medical resources, so students who become ill may have difficulty obtaining the treatment they need. Additionally, college campuses are often situated in areas where there is a high concentration of people who are susceptible to coronavirus. This means that the virus is likely to spread rapidly on college campuses.""",gpt3
26,"""Diplomat at the UN tests positive for coronavirus"""""" """" ""A diplomat at the UN has tested positive for the coronavirus, a new global health scare. While there is no evidence yet that the diplomat spread the virus to others, the World Health Organization is doing its best to contain it.""",gpt3
27,"""What the US can learn from Singapore's coronavirus strategy"""""" """" ""First and foremost, the US should take heed of Singapore's coronavirus strategy and learn from it as much as possible. The country has been incredibly successful in containing the virus and preventing it from spreading to wider areas, which is something that the US should emulate. Singapore has also been very vocal about its strategy and has shared a lot of information with other countries so that they can learn from it."" """" ""Another thing that the US can learn from Singapore is how to communicate with the public. The country has done a great job in informing the public about the virus and what to do if they are infected. They have also been very transparent about how the virus is being managed, which is something that the US should also do.""",gpt3
28,"""The disease expert who warned us"""""" """" ""not to drink"" """" ""The disease expert who warned us not to drink was right. Drinking alcohol can increase your risk of developing cancer.""",gpt3
29,"""Angelina Jolie: What we must do for Afghan women"""""" """" """"First and foremost, we urge the international community to provide much needed financial and technical support to Afghan women's organizations and to create an enabling environment in which they can work effectively."" """" ""We also call on the international community to provide vulnerable Afghan women with access to education, healthcare and protection from violence. We must do more to ensure that all Afghan women have the same opportunities and rights, regardless of their social status or marital status."""" """" ""As Hollywood's most decorated woman, Angelina Jolie knows a thing or two about helping others. Her activism focuses on the rights of women and girls, and she has spent a great deal of time working to ensure that they have a chance to thrive in societies around the world. Here, Jolie outlines some of the key steps that the international community should take in order to help Afghan women achieve equality and respect."" """" ""amplifier""",gpt3
30,"""Latest Headlines on CNN Business"""""" """" ""1. Walmart gears up for Black Friday with big discounts"" """" ""Walmart is gearing up for Black Friday with big discounts on products. The retailer is offering discounts of up to 50% off on some items. The discounts start on Black Friday and last through Cyber Monday."" """" ""2. Macy's Black Friday deals"" """" ""Macy's has released its Black Friday deals and they include discounts on clothing, shoes, and home goods. Some of the discounts include up to 50% off select items. The discounts start on November 24 and last until November 26."" """" ""3. Amazon to open 20 physical bookstores in 2018"" """" ""Amazon is expanding its retail presence by opening 20 physical bookstores in 2018. The bookstores will be located in metropolitan areas across the United States. The first bookstores to open will be in Seattle and Chicago.""",gpt3
31,"""Latest Headlines on CNN Business"""""" """" ""-Johnson & Johnson to plead guilty to aiding and abetting opioid fraud"" """" ""-Delta to give $5 million to support working parents in the US"" """" ""-Ford to end production of vehicles in Europe"" """"",gpt3
32,"""Latest Headlines on CNN Business"""""" """" ""-Walmart to close 269 stores worldwide"" """" ""-Trump advisor Gary Cohn to step down from Trump White House"" """" ""-Uber to raise $2 billion in new capital"" """" ""-Elon Musk's Tesla to unveil new Roadster""",gpt3
33,"""Rugby World Cup 2019""""Qualifier:"" """" ""Australia vs Fiji"" """" ""Date: Saturday 9th November"" """" ""Venue: GIO Stadium, Sydney"" """" ""Kick-off: 17:00 (AEDT)"" """" ""Australia"" """" ""For the first time since 2011, Australia is back in the Rugby World Cup Qualifier. They have been drawn in Pool A alongside Scotland and Canada. They will be looking to improve on their third-place finish from last year and make it to the 2019 World Cup in Japan."" """" ""Fiji"" """" ""The winners of the Pacific Nations Cup, Fiji will be looking to progress to the World Cup for the first time. They have been drawn in Pool C alongside Argentina, Samoa, and Tonga. The Aussies will be a tough test, but Fiji will be looking to progress to their first World Cup.""",gpt3
34,"""The movies that predicted an outbreak like coronavirus"""""" """" ""1. Contagion (2004)"" """" ""This movie depicts a global pandemic caused by a new coronavirus. The movie centers around the efforts of a CDC agent to track down the source of the pandemic and prevent it from spreading."" """" ""2. Outbreak (1979)"" """" ""This movie tells the story of a small town in America that is struck by a mysterious illness that causes widespread panic. The town's citizens are forced to band together to try to find a cure for the disease."" """" ""3. The Andromeda Strain (1971)"" """" ""This movie is about a team of scientists who try to prevent a pandemic from spreading across the globe. The scientists are forced to use all of their ingenuity to stop the pandemic from reaching San Francisco."" """" ""4. The War of the Worlds (1953)"" """" ""This movie tells the story of a Martian invasion that is halted by the efforts of a small town in America. The town's citizens use all of their ingenuity to fight back against the Martian forces."" """" ""5. The Signal (2006)"" """" ""This movie tells the story of a team of scientists who are trying to find a cure for a disease that is causing people to lose their minds. The scientists are forced to use all of their ingenuity to find a solution to the disease.""",gpt3
35,"""Orlando Bloom coming home to self-quarantine"""""" """" ""Posted on Nov 27, 2018"" """" ""LOS ANGELES (Reuters) - Actor Orlando Bloom said on Friday he was coming home to self-quarantine after contracting the measles in the United States."" """" ""“I will be self-quarantining in my home for the next 30 days to ensure I do not contract the measles,” Bloom said on his Facebook page."" """" ""The 35-year-old actor made his announcement a day after the Centers for Disease Control and Prevention warned that people who have not had two doses of the measles vaccine and who have contact with an individual who has the virus could be infected."" """" ""The measles outbreak in the United States has already sickened 165 people in 22 states and the District of Columbia, according to the CDC."" """" ""The disease is highly contagious and can lead to severe respiratory illness, including pneumonia, and even death.""",gpt3
36,"""Tom Hanks and Rita Wilson share update after coronavirus diagnosis"""""" """" ""Some of Hollywood's most-loved stars have come together to share an update on their health since they both tested positive for the coronavirus.""",gpt3
37,"""'Bloodshot' brings Vin Diesel back to life in a superhero-like origin story"""""" """" ""The film, directed by Dave Green and based on the popular comic book series by Adam Hughes, follows a disgraced ex-DEA agent who is subjected to a top secret experiment that brings him back to life with superpowers."" """" ""BLOODSHOT REBORN is an all-new origin story for the world’s most popular character—Vin Diesel’s ruthless and bloodthirsty mercenary, Bloodshot. Armed with an arsenal of powerful weapons and abilities, he’s on a quest to find his place in the world as he battles an ever-growing list of enemies."" """" ""Stars include Vin Diesel, Keanu Reeves, Jason Momoa, Dominic Cooper, and Ruby Rose.""",gpt3
38,"""Jay Electronica finally releases debut album""""'The White Negro'"" """" ""With his latest album “The White Negro”, San Francisco-based producer and artist, Chance the Rapper, has rightfully earned the title of hip-hop's reigning “enfant terrible.” But his predecessor in electronic music's naughty step, Chicago-born rap artist, Kanye West, has been releasing albums at a dizzying pace in recent years and, like Chance, often eschews the spotlight."" """" ""But last week, Kanye West debuted his seventh album, “The Life of Pablo”, and the floodgates opened for other artists, including Chance the Rapper, to release their own debut albums."" """" ""Chance the Rapper's “The White Negro” is a brilliantly produced and strangely beautiful album that finds its roots in traditional jazz and soul and draws inspiration from the work of Francis Bacon, William S. Burroughs, and James Baldwin."" """" ""Kanye West's “The Life of Pablo” is an ambitious, chaotic, and often brilliant album that finds its roots in gospel and blues.""",gpt3
39,"""'A Quiet Place II' release delayed by coronavirus"""""" """" ""The sequel to A Quiet Place has been delayed by a coronavirus.""",gpt3
40,"""'Bachelor' Peter Weber and Madison Prewett split days after dramatic finale"""""" """" """"Bachelor"" Peter Weber and Madison Prewett have split days after their dramatic finale."" """" ""According to In Touch Weekly, Weber and Prewett had a tearful goodbye at the end of the ABC reality show's final episode on Monday."" """" ""The magazine says Weber is moving out of Prewett's house and the two have agreed not to speak to each other until their finale reunion show in January."" """" ""Weber, 35, proposed to Prewett, 27, on the finale episode."" """" ""Their split comes after Weber told PEOPLE magazine he didn't want to propose during the show and only did so to impress Prewett."" """" """"I didn't want to do it on TV because I didn't want her to think it was because I was worried about the outcome of the show,"" Weber said. ""I wanted to do it because I loved her."""" """" ""Prewett said Weber was ""the best husband and boyfriend I've ever been in a relationship with."""" """" ""Weber told PEOPLE his final decision to propose came after Prewett revealed she had been thinking about getting married for six years."" """" """"She was like, 'If I ever get married, it's going to be to you,'"" Weber said."" """" ""Copyright © 2017, ABC Radio. All rights reserved.""",gpt3
41,"""Pete Davidson doesn't exactly stretch much in 'Big Time Adolescence'"""""" """" ""In his new HBO comedy Big Time Adolescence, Pete Davidson hilariously portrays a young man struggling to figure out his identity and fit into society. But despite the zaniness of his character, Davidson seems to really resonate with some of the issues young adults face."" """" ""In an interview with GQ, Davidson discussed some of the struggles he experienced during his own teenage years, which he compared to those of his character in Big Time Adolescence. He recalled feeling like an outsider in high school, and recounted how he would often hang out with older kids in order to fit in. Davidson also shared some advice for young adults who are struggling to find their place in the world."" """" """"My biggest piece of advice is not to give up. It's just a process. It doesn't happen overnight. But if you keep at it and don't take things personally, and you're not afraid to make mistakes, eventually you'll find your way."""" """" ""Davidson's portrayal of a young man facing the challenges of growing up is a refreshing and honest portrayal of the reality for many young adults. His words of encouragement are sure to resonate with anyone who's struggled to find their place in the world.""",gpt3
42,"""Serena Williams to spend the next 6 weeks in solitude"""""" """" ""Serena Williams will spend the next six weeks in solitude to "" reflect on her life, career and choices.""""",gpt3
43,"""Gloria Gaynor fights coronavirus by taking her hit song 'I Will Survive' to the sink"""""" """" """" """" ""Gloria Gaynor is one of the most successful and iconic singers of all time."" """" ""A survivor of breast cancer, Gaynor has always been in the public eye, and her hit song “I Will Survive” has become a anthem for the LGBT community and cancer patients."" """" ""Gaynor recently joined forces with the American Cancer Society in a campaign to raise awareness about the coronavirus, which has killed more than 1,200 people since 2013."" """" ""In a new video, Gaynor takes her hit song “I Will Survive” to the sink and sings the lyrics while washing her hands."" """" ""“I will survive, even if we can’t,” Gaynor sings. “Together we will survive, every day.”"" """" ""The video is part of a social media campaign called “#WashYour HandsSoYouDon’tGetC coronavirus.”"" """" ""“We are seeing a surge in coronavirus infections, with tragic consequences,” said Dr. Daniel J. Rabin, the president and CEO of the American Cancer Society. “We need everyone to help stop the spread of this virus by washing their hands and keeping themselves and others safe.”"" """" ""The American Cancer Society is urging people to take the following steps to avoid getting coronavirus:"" """" ""-Wash your hands often, especially before you eat, after you use the restroom, and when you handle foods."" """" ""-Cover your nose and mouth when you sneeze and cough, and avoid close contact with people who are sick."" """" ""-Stay plugged in to health information and warn your friends and family about the dangers of coronavirus.""",gpt3
44,"""'Riverdale' halts Season 4 production over coronavirus"""""" """" """"Riverdale"" producers halted production on the fourth and final season of the show over concerns about the coronavirus. The show is set in the fictional town of Riverdale, where characters face a possible pandemic. ""Riverdale"" stars KJ Apa, Lili Reinhart, and Camila Mendes.""",gpt3
45,"""Gayle King tells Oprah she's 'moved on' from Kobe Bryant controversy"""""" """" ""Gayle King tells Oprah she's 'moved on' from Kobe Bryant controversy"" """" ""Gayle King tells Oprah she's 'moved on' from Kobe Bryant controversy"" """" ""Gayle King tells Oprah she's 'moved on' from Kobe Bryant controversy"" """" ""Gayle King tells Oprah she's 'moved on' from Kobe Bryant controversy"" """" ""Gayle King tells Oprah she's 'moved on' from Kobe Bryant controversy""",gpt3
46,"""Tom Hanks and Rita Wilson: What we know"""""" """" ""Tom Hanks and Rita Wilson have been married since 1986 and have three children. They met while filming the movie ""Boys Don't Cry"" and got married two months later. Wilson is an actress and singer-songwriter and has starred in films like ""The Green Mile"" and ""The Office."" Hanks is an actor and director and is best known for his roles in ""Philadelphia,"" ""Forrest Gump,"" and ""The Big Bang Theory.""""",gpt3
47,"""Kate Beckinsale posts powerful response to Harvey Weinstein's prison sentence"""""" """" ""The actress and activist has called for a ""time-out"" in the aftermath of the sexual Weinstein scandal""",gpt3
48,"""Jerry Seinfeld postpones New York City shows"""""" """" ""It was recently announced that Larry David would join Jerry Seinfeld on the road this summer in support of the new album ‘Comedians in Cars Getting Coffee.’ However, Jerry has now announced that he will not be able to make the trip to New York City to perform his usual stand-up show as a result."" """" ""“I’ve decided not to do my usual stand up show in New York City this summer because I have a new show in Los Angeles with Larry David,” Jerry said in a statement. “It will be a lot of fun and I hope to see you there.”"" """" ""The two comedians will instead be performing at the MGM Grand Garden Arena in Las Vegas on July 22nd and 23rd."" """" ""Fans of Seinfeld can still catch him on the road this summer though, as he is scheduled to perform at the Southeastern Comedy Festival in Raleigh, NC on July 27th and 28th.""",gpt3
49,"""Tom Hanks and Rita Wilson's family speak out after coronavirus diagnosis"""""" """" ""In an emotional statement, Tom Hanks and Rita Wilson's family says that the couple is ""in good spirits and fully appreciating the support of their loved ones"" after learning they have the coronavirus.""",gpt3
50,"""Justin Timberlake and Anderson .Paak duet on funky 'Don't Slack'"""""" """" ""Don't Slack was released on January 12th, 2019.""",gpt3
